date,year,month,fiscal_year,mineral,flow,hs_code,country,port,state,value_usd_mn,value_inr_cr,quantity_mt,unit_price_usd_mt
2017-06-01,2017,6,FY2017-18,Copper,Import,74031200,Others,Tuticorin,Andhra Pradesh,64.397,534.499,5431.55,11856.18
2017-07-01,2017,7,FY2017-18,Copper,Import,26030090,Chile,Kandla,Tamil Nadu,164.771,1367.598,14208.13,11596.95
2017-07-01,2017,7,FY2017-18,Copper,Import,74020010,Indonesia,Mundra,Karnataka,101.068,838.863,8715.04,11596.95
2017-07-01,2017,7,FY2017-18,Copper,Import,26030090,Australia,Visakhapatnam,Gujarat,66.429,551.359,5728.13,11596.95
2017-07-01,2017,7,FY2017-18,Copper,Import,74020010,Peru,Cochin,Maharashtra,58.74,487.543,5065.14,11596.95
2017-07-01,2017,7,FY2017-18,Copper,Import,26030010,Japan,Chennai,Gujarat,43.598,361.866,3759.47,11596.95
2017-07-01,2017,7,FY2017-18,Copper,Import,26030090,South Korea,Tuticorin,West Bengal,27.759,230.398,2393.63,11596.95
2017-07-01,2017,7,FY2017-18,Copper,Import,26030010,Philippines,Tuticorin,Andhra Pradesh,22.648,187.98,1952.95,11596.95
2017-07-01,2017,7,FY2017-18,Copper,Import,74031300,Others,Cochin,Rajasthan,62.628,519.815,5400.41,11596.95
2017-08-01,2017,8,FY2017-18,Copper,Import,74010010,Chile,Visakhapatnam,Odisha,133.332,1106.655,13201.89,10099.46
2017-08-01,2017,8,FY2017-18,Copper,Import,26030090,Indonesia,Tuticorin,Tamil Nadu,72.895,605.026,7217.69,10099.46
2017-08-01,2017,8,FY2017-18,Copper,Import,26030010,Australia,Visakhapatnam,West Bengal,60.575,502.77,5997.82,10099.46
2017-08-01,2017,8,FY2017-18,Copper,Import,74020010,Peru,JNPT Mumbai,West Bengal,41.117,341.269,4071.18,10099.46
2017-08-01,2017,8,FY2017-18,Copper,Import,74031200,Japan,Visakhapatnam,Karnataka,41.481,344.291,4107.23,10099.46
2017-08-01,2017,8,FY2017-18,Copper,Import,26030090,South Korea,Tuticorin,Andhra Pradesh,24.041,199.537,2380.38,10099.46
2017-08-01,2017,8,FY2017-18,Copper,Import,26030010,Philippines,Kandla,West Bengal,23.241,192.899,2301.19,10099.46
2017-08-01,2017,8,FY2017-18,Copper,Import,26030090,Others,Chennai,West Bengal,63.648,528.276,6302.1,10099.46
2017-09-01,2017,9,FY2017-18,Copper,Import,26030090,Chile,Kolkata,Odisha,134.747,1118.398,13706.46,9830.89
2017-09-01,2017,9,FY2017-18,Copper,Import,74031100,Indonesia,Chennai,Rajasthan,71.144,590.494,7236.77,9830.89
2017-09-01,2017,9,FY2017-18,Copper,Import,74031300,Australia,Visakhapatnam,Karnataka,61.435,509.909,6249.16,9830.89
2017-09-01,2017,9,FY2017-18,Copper,Import,74020010,Peru,Chennai,Maharashtra,47.857,397.212,4868.01,9830.89
2017-09-01,2017,9,FY2017-18,Copper,Import,74031100,Japan,Kolkata,Rajasthan,41.075,340.926,4178.2,9830.89
2017-09-01,2017,9,FY2017-18,Copper,Import,74031100,South Korea,Kolkata,Maharashtra,29.225,242.564,2972.73,9830.89
2017-09-01,2017,9,FY2017-18,Copper,Import,74031100,Philippines,Mundra,Andhra Pradesh,22.835,189.531,2322.79,9830.89
2017-09-01,2017,9,FY2017-18,Copper,Import,26030010,Others,JNPT Mumbai,Rajasthan,62.396,517.886,6346.92,9830.89
2017-10-01,2017,10,FY2017-18,Copper,Import,74031200,Chile,Visakhapatnam,Andhra Pradesh,168.638,1399.693,14722.78,11454.2
2017-10-01,2017,10,FY2017-18,Copper,Import,74010010,Indonesia,Chennai,Andhra Pradesh,88.38,733.555,7715.95,11454.2
2017-10-01,2017,10,FY2017-18,Copper,Import,74031100,Australia,Cochin,Maharashtra,56.597,469.759,4941.2,11454.2
2017-10-01,2017,10,FY2017-18,Copper,Import,74031300,Peru,Chennai,Gujarat,56.206,466.513,4907.06,11454.2
2017-10-01,2017,10,FY2017-18,Copper,Import,26030090,Japan,Mundra,Maharashtra,36.814,305.56,3214.05,11454.2
2017-10-01,2017,10,FY2017-18,Copper,Import,26030090,South Korea,Visakhapatnam,Gujarat,32.18,267.097,2809.48,11454.2
2017-10-01,2017,10,FY2017-18,Copper,Import,74031300,Philippines,Tuticorin,Karnataka,27.888,231.466,2434.7,11454.2
2017-10-01,2017,10,FY2017-18,Copper,Import,74031300,Others,JNPT Mumbai,Karnataka,68.089,565.137,5944.44,11454.2
2017-11-01,2017,11,FY2017-18,Copper,Import,26030010,Chile,Tuticorin,Rajasthan,134.767,1118.567,11001.91,12249.43
2017-11-01,2017,11,FY2017-18,Copper,Import,74031100,Indonesia,Tuticorin,Karnataka,98.103,814.251,8008.75,12249.43
2017-11-01,2017,11,FY2017-18,Copper,Import,74020010,Australia,Tuticorin,Rajasthan,61.49,510.367,5019.83,12249.43
2017-11-01,2017,11,FY2017-18,Copper,Import,74031300,Peru,Kolkata,Maharashtra,59.157,490.999,4829.33,12249.43
2017-11-01,2017,11,FY2017-18,Copper,Import,74020010,Japan,JNPT Mumbai,Tamil Nadu,44.93,372.921,3667.94,12249.43
2017-11-01,2017,11,FY2017-18,Copper,Import,26030010,South Korea,JNPT Mumbai,West Bengal,28.166,233.777,2299.36,12249.43
2017-11-01,2017,11,FY2017-18,Copper,Import,26030010,Philippines,Kandla,Andhra Pradesh,26.616,220.916,2172.86,12249.43
2017-11-01,2017,11,FY2017-18,Copper,Import,26030010,Others,Kolkata,Karnataka,77.494,643.199,6326.32,12249.43
2017-12-01,2017,12,FY2017-18,Copper,Import,74031100,Chile,Kolkata,Maharashtra,156.053,1295.24,14824.59,10526.63
2017-12-01,2017,12,FY2017-18,Copper,Import,74010010,Indonesia,Cochin,Rajasthan,83.408,692.287,7923.53,10526.63
2017-12-01,2017,12,FY2017-18,Copper,Import,26030090,Australia,Cochin,Rajasthan,58.484,485.417,5555.81,10526.63
2017-12-01,2017,12,FY2017-18,Copper,Import,74031100,Peru,Kolkata,Maharashtra,48.236,400.357,4582.26,10526.63
2017-12-01,2017,12,FY2017-18,Copper,Import,74031300,Japan,Kolkata,Andhra Pradesh,39.826,330.558,3783.39,10526.63
2017-12-01,2017,12,FY2017-18,Copper,Import,26030010,South Korea,Cochin,Andhra Pradesh,31.968,265.33,3036.82,10526.63
2017-12-01,2017,12,FY2017-18,Copper,Import,26030090,Philippines,Cochin,West Bengal,27.664,229.609,2627.97,10526.63
2017-12-01,2017,12,FY2017-18,Copper,Import,74031300,Others,Mundra,Odisha,64.638,536.495,6140.42,10526.63
2018-01-01,2018,1,FY2017-18,Copper,Import,74031100,Chile,Chennai,Odisha,141.03,1170.552,12974.19,10870.07
2018-01-01,2018,1,FY2017-18,Copper,Import,26030090,Indonesia,Chennai,Karnataka,79.852,662.774,7346.07,10870.07
2018-01-01,2018,1,FY2017-18,Copper,Import,74010010,Australia,Cochin,West Bengal,66.182,549.312,6088.48,10870.07
2018-01-01,2018,1,FY2017-18,Copper,Import,26030090,Peru,JNPT Mumbai,Gujarat,52.679,437.236,4846.25,10870.07
2018-01-01,2018,1,FY2017-18,Copper,Import,26030090,Japan,Visakhapatnam,Andhra Pradesh,44.42,368.685,4086.44,10870.07
2018-01-01,2018,1,FY2017-18,Copper,Import,74031100,South Korea,Tuticorin,Rajasthan,26.097,216.608,2400.84,10870.07
2018-01-01,2018,1,FY2017-18,Copper,Import,74010010,Philippines,Kolkata,Maharashtra,27.548,228.649,2534.31,10870.07
2018-01-01,2018,1,FY2017-18,Copper,Import,26030010,Others,Visakhapatnam,Karnataka,73.255,608.015,6739.13,10870.07
2018-02-01,2018,2,FY2017-18,Copper,Import,74031200,Chile,Cochin,Tamil Nadu,124.112,1030.131,11901.1,10428.63
2018-02-01,2018,2,FY2017-18,Copper,Import,74010010,Indonesia,Cochin,Tamil Nadu,90.486,751.035,8676.7,10428.63
2018-02-01,2018,2,FY2017-18,Copper,Import,74031100,Australia,Cochin,West Bengal,51.495,427.41,4937.86,10428.63
2018-02-01,2018,2,FY2017-18,Copper,Import,74031300,Peru,Chennai,Karnataka,46.309,384.361,4440.52,10428.63
2018-02-01,2018,2,FY2017-18,Copper,Import,74031200,Japan,Kolkata,Rajasthan,37.925,314.778,3636.63,10428.63
2018-02-01,2018,2,FY2017-18,Copper,Import,26030010,South Korea,Cochin,Maharashtra,24.652,204.608,2363.83,10428.63
2018-02-01,2018,2,FY2017-18,Copper,Import,74031200,Philippines,Kandla,Maharashtra,24.466,203.067,2346.04,10428.63
2018-02-01,2018,2,FY2017-18,Copper,Import,26030010,Others,JNPT Mumbai,Rajasthan,58.07,481.979,5568.3,10428.63
2018-03-01,2018,3,FY2017-18,Copper,Import,74031300,Chile,Kandla,Gujarat,135.225,1122.372,13753.44,9832.12
2018-03-01,2018,3,FY2017-18,Copper,Import,74031300,Indonesia,Visakhapatnam,Odisha,73.582,610.729,7483.82,9832.12
2018-03-01,2018,3,FY2017-18,Copper,Import,74010010,Australia,Visakhapatnam,Tamil Nadu,64.208,532.925,6530.41,9832.12
2018-03-01,2018,3,FY2017-18,Copper,Import,74031200,Peru,Mundra,Tamil Nadu,53.908,447.439,5482.88,9832.12
2018-03-01,2018,3,FY2017-18,Copper,Import,26030090,Japan,Cochin,Maharashtra,43.703,362.739,4444.97,9832.12
2018-03-01,2018,3,FY2017-18,Copper,Import,74020010,South Korea,Cochin,Maharashtra,26.291,218.218,2674.02,9832.12
2018-03-01,2018,3,FY2017-18,Copper,Import,74010010,Philippines,Mundra,Rajasthan,24.86,206.337,2528.44,9832.12
2018-03-01,2018,3,FY2017-18,Copper,Import,74031100,Others,Kolkata,Gujarat,66.682,553.457,6782.01,9832.12
2018-04-01,2018,4,FY2018-19,Copper,Import,74010010,Chile,Kolkata,Rajasthan,160.796,1334.61,16266.76,9884.97
2018-04-01,2018,4,FY2018-19,Copper,Import,26030090,Indonesia,Kolkata,Karnataka,94.346,783.073,9544.4,9884.97
2018-04-01,2018,4,FY2018-19,Copper,Import,26030090,Australia,Kolkata,Gujarat,60.048,498.401,6074.71,9884.97
2018-04-01,2018,4,FY2018-19,Copper,Import,74031300,Peru,JNPT Mumbai,Karnataka,47.039,390.422,4758.62,9884.97
2018-04-01,2018,4,FY2018-19,Copper,Import,74010010,Japan,Cochin,Maharashtra,46.377,384.925,4691.62,9884.97
2018-04-01,2018,4,FY2018-19,Copper,Import,74031300,South Korea,Kolkata,Andhra Pradesh,28.349,235.298,2867.91,9884.97
2018-04-01,2018,4,FY2018-19,Copper,Import,74031300,Philippines,Visakhapatnam,West Bengal,26.697,221.589,2700.82,9884.97
2018-04-01,2018,4,FY2018-19,Copper,Import,74010010,Others,Chennai,Tamil Nadu,57.407,476.476,5807.48,9884.97
2018-05-01,2018,5,FY2018-19,Copper,Import,74020010,Chile,JNPT Mumbai,Gujarat,124.624,1034.378,16773.47,7429.82
2018-05-01,2018,5,FY2018-19,Copper,Import,74010010,Indonesia,Chennai,Tamil Nadu,65.642,544.828,8834.92,7429.82
2018-05-01,2018,5,FY2018-19,Copper,Import,74020010,Australia,Tuticorin,Maharashtra,43.198,358.544,5814.14,7429.82
2018-05-01,2018,5,FY2018-19,Copper,Import,26030090,Peru,Tuticorin,Odisha,45.157,374.806,6077.85,7429.82
2018-05-01,2018,5,FY2018-19,Copper,Import,74031300,Japan,Chennai,Odisha,29.851,247.765,4017.75,7429.82
2018-05-01,2018,5,FY2018-19,Copper,Import,74031100,South Korea,Mundra,Maharashtra,24.208,200.931,3258.29,7429.82
2018-05-01,2018,5,FY2018-19,Copper,Import,26030090,Philippines,JNPT Mumbai,Tamil Nadu,22.958,190.555,3090.03,7429.82
2018-05-01,2018,5,FY2018-19,Copper,Import,74031300,Others,Tuticorin,Odisha,48.239,400.382,6492.6,7429.82
2018-06-01,2018,6,FY2018-19,Copper,Import,26030010,Chile,Visakhapatnam,Odisha,124.354,1032.14,16191.96,7680.0
2018-06-01,2018,6,FY2018-19,Copper,Import,74031100,Indonesia,Visakhapatnam,Odisha,77.46,642.919,10085.95,7680.0
2018-06-01,2018,6,FY2018-19,Copper,Import,74031300,Australia,Chennai,Gujarat,51.915,430.894,6759.76,7680.0
2018-06-01,2018,6,FY2018-19,Copper,Import,74031300,Peru,Kandla,Maharashtra,38.565,320.09,5021.5,7680.0
2018-06-01,2018,6,FY2018-19,Copper,Import,74031100,Japan,Visakhapatnam,Andhra Pradesh,28.463,236.241,3706.08,7680.0
2018-06-01,2018,6,FY2018-19,Copper,Import,26030010,South Korea,JNPT Mumbai,Rajasthan,21.91,181.849,2852.81,7680.0
2018-06-01,2018,6,FY2018-19,Copper,Import,74031200,Philippines,Cochin,Rajasthan,20.725,172.02,2698.61,7680.0
2018-06-01,2018,6,FY2018-19,Copper,Import,26030090,Others,Chennai,West Bengal,44.582,370.029,5804.92,7680.0
2018-07-01,2018,7,FY2018-19,Copper,Import,74031100,Chile,Chennai,Karnataka,134.441,1115.863,15512.79,8666.48
2018-07-01,2018,7,FY2018-19,Copper,Import,74031200,Indonesia,Visakhapatnam,West Bengal,87.483,726.108,10094.39,8666.48
2018-07-01,2018,7,FY2018-19,Copper,Import,26030010,Australia,JNPT Mumbai,Rajasthan,59.285,492.065,6840.72,8666.48
2018-07-01,2018,7,FY2018-19,Copper,Import,74020010,Peru,Cochin,Andhra Pradesh,44.123,366.218,5091.19,8666.48
2018-07-01,2018,7,FY2018-19,Copper,Import,26030090,Japan,Mundra,Tamil Nadu,36.792,305.377,4245.37,8666.48
2018-07-01,2018,7,FY2018-19,Copper,Import,74031200,South Korea,Chennai,West Bengal,29.854,247.79,3444.79,8666.48
2018-07-01,2018,7,FY2018-19,Copper,Import,26030090,Philippines,Kandla,Odisha,22.914,190.185,2643.97,8666.48
2018-07-01,2018,7,FY2018-19,Copper,Import,74020010,Others,Chennai,Karnataka,56.623,469.967,6533.51,8666.48
2018-08-01,2018,8,FY2018-19,Copper,Import,26030010,Chile,Tuticorin,Odisha,126.387,1049.015,14375.4,8791.92
2018-08-01,2018,8,FY2018-19,Copper,Import,74020010,Indonesia,Chennai,Tamil Nadu,77.622,644.266,8828.83,8791.92
2018-08-01,2018,8,FY2018-19,Copper,Import,74031300,Australia,Kolkata,Gujarat,56.572,469.551,6434.59,8791.92
2018-08-01,2018,8,FY2018-19,Copper,Import,26030090,Peru,JNPT Mumbai,Karnataka,50.2,416.663,5709.84,8791.92
2018-08-01,2018,8,FY2018-19,Copper,Import,74031300,Japan,Chennai,West Bengal,30.971,257.057,3522.64,8791.92
2018-08-01,2018,8,FY2018-19,Copper,Import,74031300,South Korea,Kandla,Tamil Nadu,26.644,221.143,3030.48,8791.92
2018-08-01,2018,8,FY2018-19,Copper,Import,74031100,Philippines,Mundra,Odisha,22.784,189.108,2591.49,8791.92
2018-08-01,2018,8,FY2018-19,Copper,Import,74020010,Others,Tuticorin,Odisha,51.415,426.743,5847.96,8791.92
2018-09-01,2018,9,FY2018-19,Copper,Import,74031200,Chile,Tuticorin,Karnataka,138.837,1152.349,12218.37,11362.99
2018-09-01,2018,9,FY2018-19,Copper,Import,74031100,Indonesia,Tuticorin,Tamil Nadu,87.745,728.28,7721.96,11362.99
2018-09-01,2018,9,FY2018-19,Copper,Import,26030090,Australia,Visakhapatnam,Gujarat,61.617,511.418,5422.57,11362.99
2018-09-01,2018,9,FY2018-19,Copper,Import,74031300,Peru,Visakhapatnam,Gujarat,46.879,389.096,4125.59,11362.99
2018-09-01,2018,9,FY2018-19,Copper,Import,74031300,Japan,Kandla,Andhra Pradesh,38.175,316.85,3359.57,11362.99
2018-09-01,2018,9,FY2018-19,Copper,Import,74031300,South Korea,JNPT Mumbai,Karnataka,31.116,258.265,2738.39,11362.99
2018-09-01,2018,9,FY2018-19,Copper,Import,26030090,Philippines,JNPT Mumbai,West Bengal,23.305,193.433,2050.98,11362.99
2018-09-01,2018,9,FY2018-19,Copper,Import,74031100,Others,JNPT Mumbai,Gujarat,63.061,523.404,5549.66,11362.99
2018-10-01,2018,10,FY2018-19,Copper,Import,26030010,Chile,Kandla,Odisha,147.178,1221.574,15337.95,9595.65
2018-10-01,2018,10,FY2018-19,Copper,Import,74031100,Indonesia,Cochin,Rajasthan,87.12,723.094,9079.08,9595.65
2018-10-01,2018,10,FY2018-19,Copper,Import,26030090,Australia,Kolkata,Maharashtra,50.256,417.127,5237.4,9595.65
2018-10-01,2018,10,FY2018-19,Copper,Import,74031100,Peru,Visakhapatnam,Karnataka,42.219,350.421,4399.85,9595.65
2018-10-01,2018,10,FY2018-19,Copper,Import,74020010,Japan,Tuticorin,West Bengal,35.221,292.33,3670.47,9595.65
2018-10-01,2018,10,FY2018-19,Copper,Import,74031200,South Korea,Cochin,West Bengal,26.648,221.176,2777.07,9595.65
2018-10-01,2018,10,FY2018-19,Copper,Import,74031300,Philippines,Chennai,West Bengal,23.845,197.91,2484.93,9595.65
2018-10-01,2018,10,FY2018-19,Copper,Import,74031100,Others,Cochin,Tamil Nadu,56.074,465.418,5843.73,9595.65
2018-11-01,2018,11,FY2018-19,Copper,Import,74010010,Chile,Mundra,Odisha,142.84,1185.576,16521.06,8645.96
2018-11-01,2018,11,FY2018-19,Copper,Import,26030090,Indonesia,Chennai,West Bengal,70.529,585.394,8157.5,8645.96
2018-11-01,2018,11,FY2018-19,Copper,Import,74020010,Australia,Tuticorin,Maharashtra,55.264,458.692,6391.9,8645.96
2018-11-01,2018,11,FY2018-19,Copper,Import,74031200,Peru,Chennai,Odisha,48.855,405.5,5650.66,8645.96
2018-11-01,2018,11,FY2018-19,Copper,Import,74020010,Japan,Kandla,Gujarat,34.538,286.668,3994.73,8645.96
2018-11-01,2018,11,FY2018-19,Copper,Import,26030010,South Korea,JNPT Mumbai,Andhra Pradesh,27.654,229.531,3198.53,8645.96
2018-11-01,2018,11,FY2018-19,Copper,Import,74031200,Philippines,Chennai,Tamil Nadu,23.444,194.584,2711.54,8645.96
2018-11-01,2018,11,FY2018-19,Copper,Import,26030090,Others,Cochin,Karnataka,61.936,514.072,7163.62,8645.96
2018-12-01,2018,12,FY2018-19,Copper,Import,26030090,Chile,Cochin,Rajasthan,166.379,1380.946,17911.63,9288.88
2018-12-01,2018,12,FY2018-19,Copper,Import,74031200,Indonesia,Mundra,Gujarat,108.527,900.77,11683.49,9288.88
2018-12-01,2018,12,FY2018-19,Copper,Import,74010010,Australia,Kolkata,Gujarat,65.946,547.35,7099.44,9288.88
2018-12-01,2018,12,FY2018-19,Copper,Import,74031100,Peru,Tuticorin,Tamil Nadu,60.663,503.504,6530.72,9288.88
2018-12-01,2018,12,FY2018-19,Copper,Import,74031300,Japan,JNPT Mumbai,Maharashtra,53.875,447.165,5799.98,9288.88
2018-12-01,2018,12,FY2018-19,Copper,Import,74031300,South Korea,Kandla,West Bengal,30.051,249.422,3235.14,9288.88
2018-12-01,2018,12,FY2018-19,Copper,Import,74031200,Philippines,Kandla,Tamil Nadu,27.144,225.296,2922.21,9288.88
2018-12-01,2018,12,FY2018-19,Copper,Import,74010010,Others,Cochin,Rajasthan,66.952,555.699,7207.73,9288.88
2019-01-01,2019,1,FY2018-19,Copper,Import,74020010,Chile,Mundra,Tamil Nadu,165.138,1370.644,17020.65,9702.2
2019-01-01,2019,1,FY2018-19,Copper,Import,74031300,Indonesia,Kolkata,Rajasthan,81.157,673.602,8364.79,9702.2
2019-01-01,2019,1,FY2018-19,Copper,Import,26030090,Australia,Kolkata,Karnataka,55.884,463.839,5759.96,9702.2
2019-01-01,2019,1,FY2018-19,Copper,Import,74020010,Peru,Kandla,West Bengal,59.304,492.223,6112.42,9702.2
2019-01-01,2019,1,FY2018-19,Copper,Import,74010010,Japan,Mundra,West Bengal,39.101,324.54,4030.14,9702.2
2019-01-01,2019,1,FY2018-19,Copper,Import,74020010,South Korea,Mundra,Rajasthan,35.696,296.277,3679.17,9702.2
2019-01-01,2019,1,FY2018-19,Copper,Import,74031300,Philippines,Kolkata,Andhra Pradesh,26.167,217.189,2697.05,9702.2
2019-01-01,2019,1,FY2018-19,Copper,Import,74010010,Others,Kolkata,Tamil Nadu,62.083,515.289,6398.86,9702.2
2019-02-01,2019,2,FY2018-19,Copper,Import,74031200,Chile,JNPT Mumbai,Karnataka,134.592,1117.113,13777.85,9768.71
2019-02-01,2019,2,FY2018-19,Copper,Import,26030090,Indonesia,Kandla,Rajasthan,84.108,698.095,8609.92,9768.71
2019-02-01,2019,2,FY2018-19,Copper,Import,74010010,Australia,Mundra,Odisha,55.548,461.048,5686.31,9768.71
2019-02-01,2019,2,FY2018-19,Copper,Import,74031100,Peru,Mundra,Maharashtra,52.532,436.017,5377.6,9768.71
2019-02-01,2019,2,FY2018-19,Copper,Import,26030090,Japan,Visakhapatnam,Odisha,40.607,337.037,4156.83,9768.71
2019-02-01,2019,2,FY2018-19,Copper,Import,26030090,South Korea,Visakhapatnam,Rajasthan,32.164,266.961,3292.54,9768.71
2019-02-01,2019,2,FY2018-19,Copper,Import,26030010,Philippines,Cochin,Andhra Pradesh,28.871,239.631,2955.48,9768.71
2019-02-01,2019,2,FY2018-19,Copper,Import,26030010,Others,Mundra,Odisha,58.434,485.004,5981.78,9768.71
2019-03-01,2019,3,FY2018-19,Copper,Import,74020010,Chile,Mundra,West Bengal,135.498,1124.635,15461.41,8763.64
2019-03-01,2019,3,FY2018-19,Copper,Import,74031300,Indonesia,Kandla,Karnataka,77.489,643.159,8842.12,8763.64
2019-03-01,2019,3,FY2018-19,Copper,Import,74010010,Australia,Visakhapatnam,Rajasthan,66.741,553.951,7615.68,8763.64
2019-03-01,2019,3,FY2018-19,Copper,Import,26030090,Peru,Kolkata,Tamil Nadu,55.997,464.774,6389.68,8763.64
2019-03-01,2019,3,FY2018-19,Copper,Import,74010010,Japan,Kolkata,Rajasthan,33.969,281.94,3876.09,8763.64
2019-03-01,2019,3,FY2018-19,Copper,Import,74031100,South Korea,JNPT Mumbai,Andhra Pradesh,31.758,263.594,3623.87,8763.64
2019-03-01,2019,3,FY2018-19,Copper,Import,74010010,Philippines,Mundra,Andhra Pradesh,22.22,184.424,2535.45,8763.64
2019-03-01,2019,3,FY2018-19,Copper,Import,74031100,Others,Mundra,West Bengal,57.482,477.097,6559.1,8763.64
2019-04-01,2019,4,FY2019-20,Copper,Import,74031200,Chile,JNPT Mumbai,Andhra Pradesh,143.397,1190.195,14410.59,9950.81
2019-04-01,2019,4,FY2019-20,Copper,Import,26030090,Indonesia,Tuticorin,Rajasthan,93.976,779.998,9444.02,9950.81
2019-04-01,2019,4,FY2019-20,Copper,Import,74010010,Australia,Tuticorin,Tamil Nadu,59.919,497.328,6021.53,9950.81
2019-04-01,2019,4,FY2019-20,Copper,Import,26030010,Peru,Cochin,Odisha,52.755,437.865,5301.56,9950.81
2019-04-01,2019,4,FY2019-20,Copper,Import,26030010,Japan,JNPT Mumbai,Maharashtra,40.722,337.994,4092.35,9950.81
2019-04-01,2019,4,FY2019-20,Copper,Import,26030090,South Korea,Kandla,Andhra Pradesh,29.523,245.043,2966.92,9950.81
2019-04-01,2019,4,FY2019-20,Copper,Import,74031100,Philippines,Cochin,Tamil Nadu,28.532,236.813,2867.27,9950.81
2019-04-01,2019,4,FY2019-20,Copper,Import,74031100,Others,Cochin,Tamil Nadu,64.761,537.52,6508.16,9950.81
2019-05-01,2019,5,FY2019-20,Copper,Import,74031200,Chile,Cochin,Odisha,143.003,1186.926,15299.76,9346.76
2019-05-01,2019,5,FY2019-20,Copper,Import,74031200,Indonesia,Kandla,Odisha,100.205,831.702,10720.84,9346.76
2019-05-01,2019,5,FY2019-20,Copper,Import,74031300,Australia,Kandla,Maharashtra,65.896,546.934,7050.12,9346.76
2019-05-01,2019,5,FY2019-20,Copper,Import,74031300,Peru,Mundra,Odisha,50.699,420.8,5424.22,9346.76
2019-05-01,2019,5,FY2019-20,Copper,Import,74031200,Japan,Kandla,Gujarat,38.385,318.594,4106.76,9346.76
2019-05-01,2019,5,FY2019-20,Copper,Import,74031100,South Korea,Chennai,Maharashtra,34.779,288.665,3720.95,9346.76
2019-05-01,2019,5,FY2019-20,Copper,Import,74031300,Philippines,Cochin,Odisha,23.666,196.431,2532.05,9346.76
2019-05-01,2019,5,FY2019-20,Copper,Import,74031200,Others,Tuticorin,Odisha,77.114,640.049,8250.39,9346.76
2019-06-01,2019,6,FY2019-20,Copper,Import,74031300,Chile,Visakhapatnam,Odisha,149.595,1241.64,17753.39,8426.29
2019-06-01,2019,6,FY2019-20,Copper,Import,74031300,Indonesia,Chennai,Tamil Nadu,85.882,712.82,10192.14,8426.29
